username;date;retweets;favorites;text;geo;location;mentions;hashtags;id;query;permalink
HTM_Reisinfo;2017-12-10 15:07;0;1;"http:// bit.ly/2kha7Ay Voeg op dat formulier ook even toe dat je vertraging hebt gehad van 50 minuten. Dan krijg je daar compensatie voor. ^Beau";;Den Haag;;;"939844123787448320";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/939844123787448320
HTM_Reisinfo;2017-12-10 15:00;0;0;"Goedemiddag Saskia. Op bus 21 zit een vertraging van 20 minuten op dit moment in verband met het weer. ^Beau";;Den Haag;;;"939842198396432385";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/939842198396432385
HTM_Reisinfo;2017-12-10 14:59;0;0;"Nee ik vat het niet persoonlijk op. Ik snap dat het vervelend is dat je 50 minuten moet wachten in de kou. Maar met dit weer kan je vertraging verwachten en ik ben het met je eens dat dat 50 minuten niet goed is. ^Beau";;Den Haag;;;"939841930179072000";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/939841930179072000
HTM_Reisinfo;2017-12-10 14:55;0;0;"Vertraging is 30 minuten van RandstadRail 3 ^Beau";;Den Haag;;;"939840942839869440";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/939840942839869440
HTM_Reisinfo;2017-12-10 14:29;9;2;"Door sneeuwval rijden alle bussen en trams met vertraging .";;Den Haag;;;"939834501039120384";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/939834501039120384
TjeerdSpoor;2017-12-10 14:27;1;0;"Geen grote problemen bij #HTM door sneeuwval en gladheid. Wel vertraging https:// twitter.com/htm_reisinfo/s tatus/939833621334118400 …";;;;#HTM;"939833952675737600";HTM AND vertraging;https://twitter.com/TjeerdSpoor/status/939833952675737600
vexerdj;2017-12-10 14:23;0;0;"Ha Beau, Dit zie ik al tijden die 5 minuten... Komt die RR3 nog echt of is lopen naar het Centrum beter? Vanaf hoeveel minuten vertraging is het gratis reizen? Kan in het vervolg bij kapotte voertuigen het informatie bord gebruikt worden? pic.twitter.com/BlshbuDR7o";;Den Haag - The Hague - NL;;;"939832870402740224";HTM AND vertraging;https://twitter.com/vexerdj/status/939832870402740224
HTM_Reisinfo;2017-12-10 13:41;0;0;"Goedemiddag Kim. We hadden een defecte wagen op tramlijn 3. Dus daarom hadden we vertraging . Ik wens je een fijne dag verder. ^Beau";;Den Haag;;;"939822328212525056";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/939822328212525056
HTM_Reisinfo;2017-12-09 23:35;0;0;"Tram 17 richting Centrum rijdt met een vertraging van 15 minuten door een aanrijding eerder.";;Den Haag;;;"939609420400676865";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/939609420400676865
HTM_Reisinfo;2017-12-09 23:28;0;0;"Tram 17 rijdt weer de gebruikelijke route, maar houd nog rekening met vertraging";;Den Haag;;;"939607708499660800";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/939607708499660800
HTM_Reisinfo;2017-12-08 16:18;0;0;"Tram 1 richting Scheveningen Noorderstrand rijdt met vertraging door een aanrijding bij Delft Tanthof.";;Den Haag;;;"939137044269412352";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/939137044269412352
HTM_Reisinfo;2017-12-08 15:24;1;0;"Tram 2 Kraayenstein, 3 Loosduinen en 4 De Uithof rijden met een vertraging van 15 minuten door een medische noodsituatie.";;Den Haag;;;"939123424214974464";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/939123424214974464
HTM_Reisinfo;2017-12-07 21:20;0;1;"Tram 4 richting Zoetermeer Javalaan rijdt met vertraging achter een aanrijding bij de Berensteinlaan.";;Den Haag;;;"938850735445495808";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/938850735445495808
HTM_Reisinfo;2017-12-07 20:29;0;0;"Tram 6 richting Leyenburg rijdt met vertraging door een aanrijding.";;Den Haag;;;"938837947117338624";HTM AND vertraging;https://twitter.com/HTM_Reisinfo/status/938837947117338624
MissAmarone;2017-12-07 18:25;0;0;"Hoeveel vertraging precies? @HTM _Reisinfo ik sta al een tijdje te wachten.";;The Hague & Heemstede;@HTM;;"938806666652463105";HTM AND vertraging;https://twitter.com/MissAmarone/status/938806666652463105
